,Id,Sire,Dam
0,G2_431872,G1_801698,G1_973614
1,G2_432072,G1_801698,G1_973614
2,G2_425484,G1_801698,G1_973614
3,G2_426165,G1_801698,G1_973614
4,G2_431334,G1_801698,G1_973614
5,G2_425367,G1_801698,G1_973614
6,G2_425503,G1_801698,G1_973614
7,G2_430925,G1_801698,G1_973614
8,G2_431214,G1_801698,G1_973614
9,G2_425304,G1_801698,G1_973614
10,G2_431658,G1_801698,G1_973614
11,G2_426022,G1_801698,G1_973614
12,G2_425556,G1_801698,G1_973614
13,G2_425064,G1_801698,G1_973614
14,G2_431112,G1_801698,G1_973614
15,G2_425024,G1_801698,G1_973614
16,G2_7800873,G1_801698,G1_973614
17,G2_7801208,G1_801698,G1_973614
18,G2_7091787,G1_801698,G1_973614
19,G2_7091747,G1_801698,G1_973614
20,G2_7801035,G1_801698,G1_973614
21,G2_7402382,G1_801698,G1_973614
22,G2_7801243,G1_801698,G1_973614
23,G2_7402431,G1_801698,G1_973614
24,G2_7801077,G1_801698,G1_973614
25,G2_7801223,G1_801698,G1_973614
26,G2_7800870,G1_801698,G1_973614
27,G2_7801147,G1_801698,G1_973614
28,G2_7402244,G1_801698,G1_973614
29,G2_7801118,G1_801698,G1_973614
30,G2_7800923,G1_801698,G1_802693
31,G2_7091748,G1_801698,G1_802693
32,G2_7801022,G1_801698,G1_802693
33,G2_7091810,G1_801698,G1_802693
34,G2_7801160,G1_801698,G1_802693
35,G2_7402241,G1_801698,G1_802693
36,G2_7402397,G1_801698,G1_802693
37,G2_7801011,G1_801698,G1_802693
38,G2_7800956,G1_801698,G1_802693
39,G2_7402261,G1_801698,G1_802693
40,G2_7801038,G1_801698,G1_802693
41,G2_7801156,G1_801698,G1_802693
42,G2_7402296,G1_801698,G1_802693
43,G2_7402294,G1_801698,G1_802693
44,G2_7091777,G1_801698,G1_802693
45,G2_7801132,G1_801698,G1_802693
46,G2_7402413,G1_801698,G1_802693
47,G2_7402362,G1_801698,G1_802693
48,G2_7402364,G1_801698,G1_802693
49,G2_7091741,G1_801698,G1_802693
50,G2_7801036,G1_801698,G1_802693
51,G2_7801017,G1_801698,G1_802693
52,G2_7800889,G1_801698,G1_802693
53,G2_7402310,G1_801698,G1_802693
54,G2_7091778,G1_801698,G1_802693
55,G2_7801284,G1_801698,G1_802693
56,G2_7402429,G1_801698,G1_802693
57,G2_7402448,G1_801698,G1_802693
58,G2_7091757,G1_801698,G1_802693
59,G2_7801127,G1_801698,G1_802693
60,G2_431966,G1_823196,G1_822979
61,G2_426161,G1_823196,G1_822979
62,G2_424643,G1_823196,G1_822979
63,G2_431593,G1_823196,G1_822979
64,G2_430484,G1_823196,G1_822979
