Id	Sire	Dam	Line
10977965	1	1	Wami
10978207	1	1	Wami
10978378	1	1	Wami
10978407	1	1	Wami
10977732	1	1	Wami
10978532	1	1	Wami
10978612	1	1	Wami
10977963	1	1	Wami
10977682	1	1	Wami
10978295	1	1	Wami
10977643	1	1	Wami
10978401	1	1	Wami
10978321	1	1	Wami
10978593	1	1	Wami
10977891	1	1	Wami
10978510	1	1	Wami
10978282	1	1	Wami
10978130	1	1	Wami
10977956	1	1	Wami
10978586	1	1	Wami
10978426	1	1	Wami
10978463	1	1	Wami
10977973	1	1	Wami
10978434	1	1	Wami
10978506	1	1	Wami
10977686	1	1	Wami
10978184	1	1	Wami
10978407	1	1	Wami
10977751	1	1	Wami
10977710	1	1	Wami
10977793	2	2	Wami
10977889	2	2	Wami
10977985	2	2	Wami
10977702	2	2	Wami
10978024	2	2	Wami
10978539	2	2	Wami
10978226	2	2	Wami
10977804	2	2	Wami
10977856	2	2	Wami
10978385	2	2	Wami
10978349	2	2	Wami
10978217	2	2	Wami
10978432	2	2	Wami
10977749	2	2	Wami
10978630	2	2	Wami
10978307	2	2	Wami
10977769	2	2	Wami
10978616	2	2	Wami
10977698	2	2	Wami
109777	2	2	Wami
10978309	2	2	Wami
10978092	2	2	Wami
10978565	2	2	Wami
10977770	2	2	Wami
109788	2	2	Wami
10978431	2	2	Wami
10977968	2	2	Wami
10978117	2	2	Wami
10978045	2	2	Wami
10978344	2	2	Wami
10978284	3	3	Wami
10978427	3	3	Wami
10977905	3	3	Wami
10978034	3	3	Wami
10977840	3	3	Wami
10978629	3	3	Wami
10978414	3	3	Wami
10978181	3	3	Wami
10978019	3	3	Wami
10978373	3	3	Wami
10978354	3	3	Wami
10978325	3	3	Wami
10977768	3	3	Wami
10977993	3	3	Wami
10978395	3	3	Wami
10978359	3	3	Wami
10977862	3	3	Wami
10977747	3	3	Wami
10977668	3	3	Wami
10977971	3	3	Wami
10978521	3	3	Wami
10978047	4	4	Wami
10978466	4	4	Wami
10975865	4	4	Wami
10977890	4	4	Wami
10978180	4	4	Wami
10977838	4	4	Wami
10977703	4	4	Wami
10977785	4	4	Wami
10978224	4	4	Wami
10978313	4	4	Wami
10978091	4	4	Wami
10978230	4	4	Wami
10978382	4	4	Wami
10977976	4	4	Wami
10977922	4	4	Wami
10977805	4	4	Wami
10978068	4	4	Wami
10978608	4	4	Wami
10977871	4	4	Wami
10978206	4	4	Wami
10978440	4	4	Wami
10978338	4	4	Wami
10978294	4	4	Wami
10975859	4	4	Wami
10978531	4	4	Wami
10978156	4	4	Wami
10978459	4	4	Wami
10978040	NA	NA	Chemchem
10978518	5	5	Chemchem
10975249	5	5	Chemchem
10975051	5	5	Chemchem
10975438	NA	NA	Chemchem
10974829	5	5	Chemchem
10974959	5	5	Chemchem
109747	5	5	Chemchem
10975555	5	5	Chemchem
10974823	5	5	Chemchem
10977960	5	5	Chemchem
10975388	5	5	Chemchem
10975573	5	5	Chemchem
10974856	5	5	Chemchem
10974943	5	5	Chemchem
10974803	5	5	Chemchem
10975358	5	5	Chemchem
10974988	5	5	Chemchem
10975209	5	5	Chemchem
10975140	5	5	Chemchem
10975556	5	5	Chemchem
10977796	5	5	Chemchem
10975510	5	5	Chemchem
10974923	5	5	Chemchem
10974925	5	5	Chemchem
10975396	5	5	Chemchem
10975096	5	5	Chemchem
10974653	5	5	Chemchem
10974794	5	5	Chemchem
10974850	5	5	Chemchem
10975184	6	6	Chemchem
10974850	6	6	Chemchem
10975291	6	6	Chemchem
10974964	6	6	Chemchem
10974720	6	6	Chemchem
10975381	6	6	Chemchem
10974990	6	6	Chemchem
10975167	6	6	Chemchem
10975162	6	6	Chemchem
10975406	6	6	Chemchem
10975153	6	6	Chemchem
10974914	6	6	Chemchem
10975415	6	6	Chemchem
10974679	6	6	Chemchem
10974647	6	6	Chemchem
10974967	6	6	Chemchem
10974691	6	6	Chemchem
10974645	6	6	Chemchem
10974892	6	6	Chemchem
10975173	6	6	Chemchem
10975629	6	6	Chemchem
10975310	6	6	Chemchem
10974798	6	6	Chemchem
10975186	6	6	Chemchem
10975465	6	6	Chemchem
10974703	6	6	Chemchem
10974820	6	6	Chemchem
10974934	7	7	Chemchem
10975580	7	7	Chemchem
10974677	7	7	Chemchem
10975358	7	7	Chemchem
10975358	7	7	Chemchem
10975480	7	7	Chemchem
10975358	7	7	Chemchem
10975454	7	7	Chemchem
10975315	7	7	Chemchem
10975068	7	7	Chemchem
10975551	7	7	Chemchem
10974683	7	7	Chemchem
10975560	7	7	Chemchem
10975371	7	7	Chemchem
10974987	7	7	Chemchem
10975546	7	7	Chemchem
10975316	7	7	Chemchem
10974877	7	7	Chemchem
10975490	7	7	Chemchem
10975205	7	7	Chemchem
10974897	7	7	Chemchem
10975413	7	7	Chemchem
10975432	7	7	Chemchem
10975369	7	7	Chemchem
10975148	7	7	Chemchem
10974717	8	8	Chemchem
10974806	8	8	Chemchem
10974875	8	8	Chemchem
10974991	8	8	Chemchem
10974732	8	8	Chemchem
10975155	8	8	Chemchem
10975613	8	8	Chemchem
10974929	8	8	Chemchem
10975110	8	8	Chemchem
10975181	8	8	Chemchem
10974989	8	8	Chemchem
10975628	8	8	Chemchem
10975325	8	8	Chemchem
10975460	8	8	Chemchem
10975583	8	8	Chemchem
10975403	8	8	Chemchem
10977660	8	8	Chemchem
10977717	8	8	Chemchem
10979553	8	8	Chemchem
10975608	8	8	Chemchem
10975152	8	8	Chemchem
10975409	8	8	Chemchem
10974812	8	8	Chemchem
10974821	8	8	Chemchem
10975473	8	8	Chemchem
10975508	8	8	Chemchem
10974743	8	8	Chemchem
10975014	8	8	Chemchem
10974776	8	8	Chemchem
10975485	9	9	Mindu
10975074	9	9	Mindu
10974974	9	9	Mindu
10975019	9	9	Mindu
10974998	9	9	Mindu
10974956	9	9	Mindu
10975350	NA	NA	Mindu
10974670	9	9	Mindu
10975021	9	9	Mindu
10975330	9	9	Mindu
10975356	9	9	Mindu
10975027	9	9	Mindu
10975448	9	9	Mindu
10975130	9	9	Mindu
10975241	9	9	Mindu
10975419	9	9	Mindu
10975545	9	9	Mindu
10975498	9	9	Mindu
109756	9	9	Mindu
10975140	9	9	Mindu
10975311	9	9	Mindu
10975621	9	9	Mindu
10974859	9	9	Mindu
10974898	9	9	Mindu
10975579	9	9	Mindu
10975262	9	9	Mindu
10975472	9	9	Mindu
10974918	10	10	Mindu
10975280	10	10	Mindu
10975482	10	10	Mindu
10974771	10	10	Mindu
10974950	10	10	Mindu
10975054	10	10	Mindu
10975048	10	10	Mindu
10974949	10	10	Mindu
10975418	10	10	Mindu
10975469	10	10	Mindu
10975491	10	10	Mindu
10974733	10	10	Mindu
10975524	10	10	Mindu
10975383	10	10	Mindu
10974769	10	10	Mindu
10975086	10	10	Mindu
10975142	10	10	Mindu
10975332	10	10	Mindu
10974740	10	10	Mindu
10974729	10	10	Mindu
10974862	10	10	Mindu
10975531	10	10	Mindu
10975135	0	0	Mindu
10975581	0	0	Mindu
10975265	0	0	Mindu
10975349	10	10	Mindu
109755	10	10	Mindu
10975343	10	10	Mindu
10975289	10	10	Mindu
10974953	10	10	Mindu
10974815	10	10	Mindu
10974888	11	11	Mindu
10974896	11	11	Mindu
10974751	11	11	Mindu
10974749	11	11	Mindu
10974783	11	11	Mindu
109751	11	11	Mindu
10975412	11	11	Mindu
10974978	11	11	Mindu
10975360	11	11	Mindu
10974672	11	11	Mindu
10975607	11	11	Mindu
10974799	11	11	Mindu
10975126	11	11	Mindu
10974842	11	11	Mindu
10974984	11	11	Mindu
10975050	11	11	Mindu
10975618	11	11	Mindu
10975375	11	11	Mindu
10975084	11	11	Mindu
10975071	11	11	Mindu
10975240	11	11	Mindu
10975550	11	11	Mindu
10974993	11	11	Mindu
10975229	11	11	Mindu
10976587	11	11	Mindu
10975449	11	11	Mindu
10975254	11	11	Mindu
10975424	11	11	Mindu
10974775	11	11	Mindu
10974824	11	11	Mindu
10974755	12	12	Mindu
10975474	12	12	Mindu
10975034	12	12	Mindu
10974975	12	12	Mindu
10975263	12	12	Mindu
10974985	12	12	Mindu
10974797	12	12	Mindu
10975563	12	12	Mindu
10975105	12	12	Mindu
10975337	12	12	Mindu
10975312	12	12	Mindu
10975102	12	12	Mindu
10975166	12	12	Mindu
10974807	12	12	Mindu
10974817	12	12	Mindu
10974845	12	12	Mindu
10974836	12	12	Mindu
10974681	12	12	Mindu
10974724	12	12	Mindu
10975323	12	12	Mindu
10974759	12	12	Mindu
10975446	12	12	Mindu
10974864	12	12	Mindu
10975259	12	12	Mindu
10975271	12	12	Mindu
10975108	12	12	Mindu
10975281	12	12	Mindu
10974839	12	12	Mindu
10975193	12	12	Mindu
10975314	12	12	Mindu
10974980	13	13	Utete
10975120	13	13	Utete
10975161	13	13	Utete
10975614	13	13	Utete
10974763	13	13	Utete
10974688	13	13	Utete
10974838	13	13	Utete
10974760	13	13	Utete
10975431	13	13	Utete
10974809	13	13	Utete
10975554	13	13	Utete
10975201	13	13	Utete
10974642	13	13	Utete
10974841	13	13	Utete
10975463	13	13	Utete
10975364	13	13	Utete
10975433	13	13	Utete
10974882	13	13	Utete
10975080	13	13	Utete
10975543	13	13	Utete
10975511	13	13	Utete
10975283	13	13	Utete
10975532	13	13	Utete
10975119	13	13	Utete
10975390	13	13	Utete
10975352	13	13	Utete
109755	13	13	Utete
10975212	13	13	Utete
10975175	13	13	Utete
10974646	14	14	Utete
